step,R_CC,gap_eV,f_seam_norm,cos_phi,e_p,e_q,gx_H0,gy_H0,gz_H0,gx_H1,gy_H1,gz_H1,gx_H2,gy_H2,gz_H2,gx_H3,gy_H3,gz_H3,gx_C4,gy_C4,gz_C4,gx_C5,gy_C5,gz_C5,hx_H0,hy_H0,hz_H0,hx_H1,hy_H1,hz_H1,hx_H2,hy_H2,hz_H2,hx_H3,hy_H3,hz_H3,hx_C4,hy_C4,hz_C4,hx_C5,hy_C5,hz_C5
20,1.3249048039791622,1.61834308080131e-06,0.006744682555601017,0.005917318025968005,-77.2673134732409,-77.26731341376792,0.006377263240202269,-0.031834961311892826,0.08283599140193779,-0.017165698370681964,-0.07459000759078374,-0.0017727009246802095,0.03691662394209849,-0.014842136565535555,-0.07550280093523994,0.021959383869202626,0.09368227324821674,-0.0040852625038265145,-0.0412298915867475,0.038300511187838136,0.0361605608420722,-0.0068576810940876864,-0.010715678967830565,-0.03763578788027354,0.021569468448951357,0.007794564616874222,-0.026143336583406174,0.006040618294646638,0.006873432322945017,0.0009171868598565336,0.005337489552342811,-0.008578173679606005,-0.008381008806169543,0.00856403084424795,-0.009632759716198397,-0.0014001469831941282,-0.0028622777410234335,0.01491703676937306,0.04021634442851019,-0.038649329399172316,-0.011374100313387758,-0.005209038915597652
21,1.324908632038424,3.5453018911738357e-06,0.006744156496546347,0.015336985088580224,-77.26731782571613,-77.26731769542876,0.04322971775936357,0.01506672574217173,-0.05093605991484004,0.01179695416478399,0.012524581151409878,0.001804552649650154,0.011273002387345882,-0.01739562888108541,-0.017994820432848016,0.01748438535259028,-0.017738570151905393,-0.0028685702710417177,-0.0063842175726684935,0.030444080270824875,0.08101648461904605,-0.07739984209144524,-0.022901188131413612,-0.011021586649959364,-0.002838660608484922,0.016041391907071656,-0.04183535130192473,0.008678816306271875,0.03740033352326272,0.0008983877412636065,-0.01836355009158619,0.007283557680297648,0.03761068174483906,-0.010837436030020187,-0.04699159737926445,0.0020203621413010797,0.02056283596166697,-0.018907084736178192,-0.01742099801869834,0.002797994462150122,0.00517339900481174,0.01872691769322099
22,1.3249124049535825,5.302704397371372e-06,0.006743567526989283,0.25932388944693496,-77.26732211166194,-77.26732191679125,-0.018336028946890126,-0.03516207407285228,0.09793756823504439,-0.02097226723979928,-0.06988165311352038,-0.002478370632522514,0.024981446599226076,-0.0029993631027643436,-0.05390618008441336,0.008947552197849817,0.08888227065733728,-0.0018779306729852507,-0.03132362056169469,0.01565567144570705,-0.013938444682762993,0.03670291795128211,0.003505148186089907,-0.02573664216236861,-0.019775279418889236,0.002223063087057664,-0.000875663641344282,-0.000336454696612698,0.014730309259959995,-0.00028250375815241924,-0.014586526066488803,0.011247187954734228,0.027733814751827235,-0.013184847259705146,-0.0176594428779398,0.0022942237900027695,0.013696394815965185,-0.022975007527702318,-0.043543017667949435,0.03418671262573003,0.01243389010388869,0.014673146525616576
23,1.3249163158059285,2.0257317293584264e-06,0.006743063391813711,0.20501971649639544,-77.26732636593941,-77.26732629149518,-0.03691704715093713,-0.02705893752958838,0.08117070458992826,-0.017948338008880516,-0.04253804559455669,-0.002383016776206559,0.0050490486247752875,0.009738821130623534,-0.014974330566914176,-0.006867312763533445,0.055286354423557386,0.0009267520530208545,-0.011347864232464477,-0.011898586330126793,-0.05914493651904218,0.06803151353103609,0.016470393900106538,-0.005595172780818711,0.011586630451670743,-0.011443070265207078,0.027412274548219928,-0.005430989710583978,-0.031389605847725044,-0.00043591128729403295,0.019031689059663348,-0.010250972493269783,-0.03794318072477887,0.01349241824333014,0.03902200736889655,-0.0024364943951957763,-0.02001358930557018,0.023530136537763036,0.03271376848879903,-0.018666158738505523,-0.009468495300458884,-0.01931045662975195
24,1.324920125656782,2.98182869730681e-06,0.006742546236106968,0.007490919292621236,-77.26733069147699,-77.26733058189686,-0.006267058989145646,0.03187254574992486,-0.0829625036548084,0.017190229650013183,0.07461635817029516,0.0017554536631725903,-0.03684293007130013,0.014818374709319265,0.075461362522757,-0.021899711953768164,-0.09373557570310655,0.004083413780980177,0.04119177911823191,-0.03823267245905469,-0.035915240146214486,0.006627692246013561,0.010660969532609449,0.03757751383412049,0.02156387961131645,0.007744865831567749,-0.026034828338378446,0.006009514996072607,0.00675451265014293,0.0009130198932711941,0.005387098838972371,-0.00859901679468611,-0.008500087233276776,0.008597396384288247,-0.009501163723587724,-0.0014102142543745977,-0.002899058360116058,0.014952185089557202,0.040278942113573635,-0.03865883147053317,-0.011351383052993574,-0.005246832180813232
25,1.3249238815174285,6.269973435627208e-06,0.006742082900983915,0.2603179253587899,-77.26733505649868,-77.26733482608152,0.029822505282029788,-0.017269270381571625,0.03821837339585539,-0.007216455811580258,-0.05345377690987841,-0.0003901701918725964,0.036368078299637646,-0.021999706222285795,-0.07161298284642564,0.027797950774836128,0.06598559149609165,-0.004965323742134792,-0.03708490929378638,0.0484650565455058,0.07555930986366728,-0.049687169251077634,-0.021727894527855042,-0.036809206479082486,-0.015884805348576503,-0.015470845614781625,0.04509144147393007,-0.009845356947456585,-0.026889345008717036,-0.0012491262881171306,0.006124035231027669,0.0028084870348685786,-0.014624077854216044,-0.0007836417240715265,0.034616924060962506,-1.1878071471072005e-05,-0.009414174699613476,-0.0013139315081470704,-0.02275342567752059,0.029803943488687423,0.006248711035814664,-0.00645293358260457
26,1.3249277193235278,7.729352236682986e-06,0.006741565651062669,0.24603713861808552,-77.26733935291112,-77.26733906886281,-0.027740660504410097,0.019201956428971545,-0.04386964022170449,0.00845392147447635,0.05676666577885906,0.0005438987015316255,-0.03706335593384069,0.02160320122192179,0.07333251881511907,-0.027640318057684854,-0.07025462445777948,0.004959179319674503,0.03819640705690541,-0.04819857921425201,-0.07251140688075038,0.04579400596452343,0.02088138024228449,0.03754545026611593,-0.016797137006503426,-0.01488894163002552,0.04378543994752482,-0.009593904572137824,-0.025131462319448794,-0.001232376058372786,0.004952930224660257,0.00350081995702034,-0.012314929649162032,-0.001667124745271309,0.032448780628244994,0.00014661247691361012,-0.00821903094765375,-0.002847430220749625,-0.02511382269740814,0.03132426704691227,0.006918233584958654,-0.005270924019496803
27,1.3249314875147173,1.3379322753962698e-06,0.006741107066312671,0.1408592586159948,-77.26734353269195,-77.26734348352387,-0.004303386024182898,-0.03466068786190406,0.09305797464139344,-0.019571994858201464,-0.07565820016133695,-0.002127094951579589,0.033127150242494824,-0.010252036328271291,-0.06913529961357588,0.01709861244279101,0.09555134523908093,-0.0032859818289807247,-0.03856972849447171,0.02991221678723719,0.015413415025890997,0.012219346691573207,-0.004892637674806188,-0.03392301327312838,0.021673768020243678,0.0036707553488459777,-0.01527232535122347,0.003755562903618781,-0.0024495915464285423,0.0006752698502103804,0.00966431371355192,-0.010134075307770107,-0.017356893400395368,0.010984818360044946,0.0020798980659057775,-0.0018646175509891005,-0.007762121708696945,0.019108527259271924,0.043427380777417035,-0.038316341288765265,-0.012275513819823999,-0.009608814325020254
28,1.3249352321394579,3.7795677268007924e-06,0.006740676710744725,0.2671581375190658,-77.26734789074271,-77.26734775184623,0.03865323026435391,-0.006042604817486474,0.006153253484958675,-0.00028752965857808954,-0.03262242609112756,0.00046757156705180825,0.03023196005430448,-0.02262869802229482,-0.05789147761896402,0.026744722189639553,0.03931203440465213,-0.0046848396204015735,-0.028713727268082634,0.04658180899890281,0.08637665399487682,-0.06662865558163888,-0.024600114472647636,-0.030421161807521246,0.01003577247906462,0.01745407948724642,-0.04887357015573934,0.010478974593739698,0.03421726543908429,0.001235658732640088,-0.011791955248050323,0.0010028962291579457,0.025660046454801355,-0.003862370710271734,-0.04359448352447673,0.0008339287533405404,0.01502973760164572,-0.006803885201827065,0.00895835021446123,-0.019890158716130202,-0.0022758724291818723,0.012185586000495685
29,1.3249389155252815,3.845482980284487e-06,0.006740231134124498,0.20921700833722998,-77.26735215767106,-77.26735201635223,-0.03660495133808345,-0.027300236188704988,0.08179845392913915,-0.018046306116658112,-0.04320363364118491,-0.002374420842681496,0.005460908702502515,0.00949016799512073,-0.015804698848161214,-0.006573702042962509,0.056170169895184405,0.0008791880527550255,-0.011846558524167383,-0.011302876827611386,-0.058441044604041495,0.067610609319396,0.0161464087671983,-0.006057477687014909,0.011794623551439232,-0.011287401252033424,0.026930294541156696,-0.005326687506272743,-0.031146106854249067,-0.0004081377754423521,0.018970507130330994,-0.01032230789012245,-0.037867571947464485,0.013524658126603528,0.03870468494364554,-0.002448577393656892,-0.01991898233679823,0.023595810180223054,0.03304242817626912,-0.01904411896530256,-0.009544679127464005,-0.019248435600861757
30,1.324942778944901,3.2621888453718385e-06,0.006739813704873613,0.19646348175624473,-77.26735646041666,-77.2673563405335,-0.022350248118441718,0.02347577240849011,-0.056563174353734466,0.011250895074768591,0.0637036271128278,0.0008904506028738768,-0.03809208692583191,0.02032091261122372,0.0762256105538244,-0.026812073489735744,-0.07924649141971271,0.00486724458526909,0.04020297932047967,-0.04678689849025959,-0.06408883837473732,0.035800534138767715,0.018533077777434494,0.038668706986530445,0.018683282208069363,0.01326305296768604,-0.03997555295528965,0.008837710687586764,0.02054296693253288,0.0011713990291946086,-0.002092200153116064,-0.005086934049808978,0.006627290494699345,0.003738927463634356,-0.02677343771631363,-0.0005220401496013327,0.005256902500409666,0.00643336900835878,0.03031415015706118,-0.03442462270658453,-0.008379017142455453,0.00238475342393607
31,1.3249464667052995,1.5981891934217175e-06,0.006739433702792184,0.0615563126425887,-77.26736073163444,-77.2673606729021,0.04201613486659267,0.01917336872949263,-0.06164531571506784,0.013963738093229733,0.022288418183329755,0.002012635352576439,0.006289596626319727,-0.01529695628143854,-0.007893269977815684,0.014462163980969556,-0.030080747842188296,-0.0023252761091288737,-0.0007585913306156211,0.025049061194410978,0.0757272506371422,-0.07597304223650991,-0.021133143983619908,-0.0058760241877040265,-0.005697884171860901,0.014890892558946156,-0.03804932959295726,0.007808059344678764,0.036224276679912126,0.0007431740262326958,-0.01889531144325196,0.00840578175193829,0.03848425037973602,-0.011890973100450397,-0.045393752407701105,0.0022021970618801845,0.020770359210152023,-0.020777804267776756,-0.022633828212647256,0.00790575016073003,0.006650605684680745,0.019253536337755173
